Building type	Coordinates (latitude)	Coordinates (longitude)	Number of floors/units
A	40.987261	-73.778948	
A	40.986994	-73.77892	
A	40.986637	-73.77893	
A	40.986391	-73.779013	
A	40.986104	-73.779013	
A	40.985831	-73.779171	
A	40.98555	-73.779255	
A	40.987597	-73.778558	
A	40.987338	-73.77841	
A	40.987106	-73.778363	
A	40.986861	-73.778437	
A	40.986623	-73.7784	
A	40.986321	-73.778484	
A	40.986041	-73.778567	
A	40.98581	-73.778642	
A	40.985641	-73.778827	
A	40.98503	-73.786856	
A	40.984673	-73.787225	
A	40.984474	-73.78733	
A	40.984263	-73.787452	
A	40.984051	-73.787593	
A	40.983892	-73.787698	
A	40.98366	-73.787908	
A	40.984959	-73.786326	
A	40.984849	-73.786028	
A	40.984756	-73.785679	
A	40.984674	-73.785171	
A	40.984548	-73.784764	
A	40.984337	-73.784517	
A	40.984592	-73.786544	
A	40.984548	-73.786337	
A	40.984424	-73.785789	
A	40.984378	-73.78551	
A	40.98429	-73.785348	
A	40.984194	-73.785125	
A	40.984064	-73.784923	
A	40.985209	-73.778683	
A	40.985137	-73.779101	
A	40.985052	-73.779591	
A	40.98504	-73.779897	
A	40.984961	-73.780483	
A	40.984851	-73.780909	
A	40.98453	-73.781134	
A	40.984566	-73.780668	
A	40.984712	-73.779784	
A	40.984712	-73.779455	
A	40.984766	-73.779173	
A	40.984833	-73.778876	
A	40.9848	-73.778595	
A	40.98433	-73.780283	
A	40.984123	-73.780266	
C	40.983808	-73.780338	
A	40.983782	-73.780636	
A	40.984084	-73.780717	
A	40.983679	-73.780981	
A	40.983994	-73.781151	
A	40.984473	-73.778535	
A	40.984418	-73.778941	
A	40.984387	-73.779285	
A	40.98429	-73.779608	
A	40.984031	-73.77966	
A	40.983776	-73.779606	
A	40.983517	-73.779823	
A	40.983406	-73.780253	
A	40.98325	-73.780776	
A	40.98295	-73.780585	
A	40.982687	-73.780509	
A	40.982383	-73.780651	
A	40.982186	-73.780841	
A	40.981939	-73.781064	
A	40.981713	-73.780874	
A	40.981841	-73.780509	
A	40.982161	-73.780248	
A	40.982354	-73.779921	
A	40.982597	-73.779715	
A	40.982736	-73.779949	
A	40.983024	-73.779998	
A	40.983139	-73.779715	
C	40.983131	-73.779421	
A	40.982872	-73.779372	
A	40.98304	-73.779105	
A	40.983258	-73.778811	
A	40.98348	-73.778974	
A	40.983706	-73.7791	
A	40.983891	-73.779121	
A	40.984051	-73.778925	
A	40.984035	-73.778631	
A	40.983809	-73.778534	
A	40.983579	-73.778523	
A	40.98371	-73.778153	
A	40.984129	-73.778229	
A	40.983733	-73.781819	
A	40.983415	-73.781483	
A	40.983157	-73.781361	
A	40.982903	-73.781183	
A	40.982673	-73.781073	
A	40.982433	-73.781409	
A	40.982682	-73.781568	
A	40.982959	-73.781635	
A	40.983268	-73.781923	
A	40.983623	-73.782155	
A	40.983631	-73.782845	
A	40.983363	-73.782569	
A	40.983107	-73.782418	
A	40.982859	-73.782329	
A	40.982604	-73.782151	
A	40.982349	-73.782036	
A	40.982094	-73.781858	
A	40.981839	-73.781644	
A	40.98157	-73.781431	
A	40.981335	-73.781249	
A	40.981077	-73.781698	
A	40.981265	-73.781822	
A	40.981513	-73.781925	
A	40.981728	-73.782116	
A	40.981936	-73.782298	
A	40.982188	-73.782414	
A	40.982416	-73.782583	
A	40.982638	-73.782752	
A	40.98293	-73.782876	
A	40.983352	-73.783116	
A	40.983577	-73.783276	
A	40.983936	-73.784255	
A	40.983677	-73.784035	
A	40.983426	-73.783922	
A	40.98326	-73.783799	
A	40.983085	-73.783659	
A	40.982931	-73.783563	
A	40.982539	-73.783423	
A	40.982389	-73.783825	
A	40.982624	-73.783927	
A	40.982818	-73.784088	
A	40.98298	-73.78418	
A	40.983162	-73.784346	
A	40.98334	-73.784464	
A	40.983523	-73.784571	
A	40.983754	-73.784711	
A	40.983361	-73.788239	
A	40.984244	-73.786786	
A	40.984054	-73.786904	
A	40.983884	-73.786941	
C	40.983686	-73.787208	
A	40.983515	-73.787253	
A	40.983659	-73.786613	
A	40.983872	-73.786369	
A	40.984095	-73.786294	
A	40.984002	-73.785671	
A	40.983637	-73.785945	
A	40.983317	-73.786272	
A	40.983257	-73.786492	
A	40.983155	-73.78705	
A	40.983115	-73.787249	
A	40.982714	-73.787222	
A	40.982742	-73.786991	
A	40.982811	-73.786734	
A	40.982848	-73.786428	
A	40.982929	-73.786165	
A	40.983042	-73.78595	
A	40.983176	-73.785747	
A	40.983366	-73.785564	
A	40.983739	-73.785376	
A	40.983176	-73.785001	
A	40.982904	-73.784711	
A	40.982662	-73.78469	
A	40.982322	-73.784416	
A	40.982277	-73.784851	
A	40.982423	-73.785039	
A	40.98267	-73.785183	
A	40.982856	-73.785296	
A	40.982192	-73.785468	
A	40.982143	-73.785736	
A	40.982083	-73.786026	
A	40.982046	-73.78631	
A	40.981998	-73.786573	
A	40.981981	-73.786857	
A	40.982026	-73.787195	
A	40.982285	-73.787275	
A	40.982305	-73.786959	
A	40.982423	-73.786659	
A	40.982492	-73.786036	
A	40.982581	-73.785779	
A	40.983334	-73.788263	
A	40.983326	-73.788048	
A	40.983156	-73.787898	
A	40.982767	-73.78778	
A	40.982617	-73.787807	
A	40.98237	-73.787774	
A	40.982107	-73.787662	
A	40.981746	-73.787694	
A	40.982156	-73.783126	
A	40.982115	-73.783416	
A	40.982105	-73.783744	
A	40.98205	-73.784068	
A	40.981994	-73.784393	
A	40.981938	-73.784687	
A	40.981894	-73.784953	
A	40.981849	-73.785262	
A	40.981771	-73.785572	
A	40.981671	-73.785955	
A	40.981638	-73.786324	
A	40.98161	-73.786582	
A	40.981571	-73.786899	
A	40.981638	-73.787252	
A	40.981655	-73.782778	
A	40.981655	-73.783287	
A	40.981629	-73.783915	
A	40.98154	-73.784355	
A	40.981459	-73.784859	
A	40.981317	-73.785422	
A	40.981289	-73.785911	
A	40.981172	-73.786361	
A	40.981099	-73.786978	
A	40.9812	-73.78767	
A	40.981233	-73.782543	
A	40.981233	-73.783043	
A	40.980803	-73.782918	
A	40.98003	-73.783199	
A	40.979836	-73.783558	
A	40.979618	-73.784027	
A	40.981227	-73.783769	
A	40.981032	-73.783621	
A	40.980803	-73.783472	
A	40.980514	-73.783324	
A	40.980325	-73.783519	
A	40.980573	-73.783691	
A	40.980791	-73.784011	
A	40.980808	-73.78437	
A	40.98075	-73.784745	
A	40.980614	-73.785097	
A	40.980343	-73.785292	
A	40.980095	-73.785276	
A	40.97993	-73.785042	
A	40.980119	-73.784605	
A	40.98039	-73.78455	
A	40.980396	-73.784238	
A	40.980105	-73.784071	
A	40.979927	-73.784354	
A	40.979749	-73.784622	
A	40.97961	-73.784971	
A	40.979457	-73.785272	
A	40.979337	-73.785635	
A	40.979152	-73.785847	
A	40.979123	-73.786243	
A	40.979329	-73.786436	
A	40.979582	-73.786544	
A	40.979845	-73.786695	
A	40.980098	-73.786813	
A	40.980357	-73.786883	
A	40.980699	-73.786954	
A	40.980784	-73.786549	
A	40.980716	-73.786111	
A	40.980379	-73.786304	
A	40.980098	-73.786323	
A	40.979831	-73.786186	
A	40.979489	-73.785984	
A	40.979738	-73.785503	
A	40.979973	-73.785753	
A	40.980194	-73.785739	
A	40.980485	-73.785612	
A	40.980827	-73.785555	
A	40.98094	-73.785239	
A	40.981001	-73.784924	
A	40.981108	-73.784509	
A	40.981147	-73.784151	
A	40.980831	-73.787475	
A	40.980522	-73.787382	
A	40.980176	-73.787233	
A	40.979857	-73.787103	
A	40.979506	-73.786954	
A	40.979118	-73.786756	
A	40.978786	-73.786421	
A	40.978688	-73.786012	
A	40.978823	-73.785554	
A	40.979039	-73.785157	
A	40.979347	-73.784624	
A	40.978295	-73.786488	
A	40.978104	-73.787011	
A	40.978431	-73.787227	
A	40.978758	-73.787408	
A	40.979017	-73.787543	
A	40.979344	-73.787778	
A	40.979766	-73.787859	
A	40.980202	-73.787904	
A	40.980154	-73.788331	
A	40.980171	-73.788779	
A	40.980171	-73.788914	
A	40.980018	-73.789168	
A	40.979719	-73.789048	
A	40.97938	-73.788989	
A	40.979008	-73.789004	
A	40.978658	-73.789056	
A	40.978342	-73.789048	
A	40.977946	-73.788974	
A	40.97767	-73.788779	
A	40.977342	-73.788518	
A	40.97973	-73.788443	
A	40.978912	-73.78866	
A	40.97855	-73.788652	
A	40.978155	-73.788577	
A	40.977822	-73.788346	
A	40.977568	-73.788129	
A	40.977833	-73.787613	
A	40.978246	-73.787673	
A	40.97859	-73.787815	
A	40.978968	-73.788017	
A	40.979236	-73.788293	
A	40.980496	-73.790362	
A	40.980139	-73.790349	
A	40.979856	-73.790375	
A	40.979594	-73.790388	
A	40.979261	-73.790408	
A	40.978984	-73.790388	
A	40.978805	-73.790368	
A	40.978602	-73.790336	
A	40.978414	-73.790362	
A	40.978216	-73.790303	
A	40.978032	-73.79027	
A	40.980079	-73.789909	
A	40.979861	-73.789922	
A	40.979618	-73.789935	
A	40.97943	-73.789896	
A	40.979152	-73.789902	
A	40.978825	-73.789883	
A	40.978865	-73.789876	
A	40.978607	-73.789909	
A	40.978404	-73.789837	
A	40.978176	-73.789856	
A	40.977983	-73.789843	
A	40.977715	-73.78981	
A	40.977507	-73.789423	
A	40.977075	-73.789134	
A	40.981511	-73.779831	
A	40.981511	-73.780169	
A	40.981357	-73.780401	
A	40.981196	-73.780623	
A	40.981001	-73.780801	
A	40.980827	-73.781139	
A	40.980619	-73.78129	
A	40.980323	-73.780961	
A	40.980538	-73.78073	
A	40.980672	-73.780472	
A	40.980827	-73.780321	
A	40.980981	-73.78008	
A	40.981135	-73.77984	
A	40.981256	-73.779591	
A	40.981357	-73.77936	
A	40.981471	-73.779058	
A	40.981572	-73.778773	
A	40.981679	-73.778578	
A	40.981793	-73.778355	
A	40.981948	-73.778097	
A	40.982069	-73.777848	
A	40.982337	-73.777982	
A	40.982391	-73.777608	
A	40.980236	-73.781775	
A	40.98005	-73.782054	
A	40.979936	-73.782258	
A	40.979838	-73.782541	
A	40.97969	-73.782693	
A	40.979552	-73.782968	
A	40.979386	-73.783188	
A	40.979229	-73.78342	
A	40.978818	-73.783231	
A	40.978934	-73.782907	
A	40.979026	-73.782669	
A	40.979146	-73.782504	
A	40.979275	-73.782296	
A	40.979399	-73.782052	
A	40.979542	-73.781826	
A	40.979695	-73.781612	
A	40.979971	-73.781355	
A	40.97904	-73.783878	
A	40.978947	-73.78408	
A	40.978855	-73.784337	
A	40.978703	-73.784563	
A	40.978528	-73.784801	
A	40.978394	-73.784697	
A	40.978532	-73.784251	
A	40.978588	-73.783933	
A	40.978638	-73.783726	
A	40.979261	-73.781465	
A	40.9791	-73.781734	
A	40.978938	-73.782101	
A	40.978786	-73.78237	
A	40.978611	-73.782699	
A	40.978454	-73.783078	
A	40.978113	-73.78295	
A	40.978223	-73.782614	
A	40.978311	-73.782345	
A	40.97844	-73.782101	
C	40.978562	-73.781778	
A	40.978751	-73.781527	
A	40.978952	-73.781291	
A	40.978312	-73.78351	
A	40.978212	-73.783812	
A	40.978151	-73.784129	
A	40.978039	-73.78446	
A	40.977839	-73.784446	
A	40.977661	-73.78432	
A	40.977817	-73.783967	
A	40.9779	-73.78362	
A	40.978006	-73.783414	
A	40.978322	-73.785338	
A	40.978166	-73.785183	
A	40.977977	-73.78508	
A	40.97781	-73.78491	
A	40.977632	-73.784785	
A	40.977437	-73.784697	
A	40.977231	-73.784579	
A	40.977042	-73.784475	
A	40.97682	-73.784328	
A	40.976675	-73.78424	
A	40.976452	-73.784114	
A	40.978222	-73.785655	
A	40.978005	-73.785559	
A	40.977799	-73.785478	
A	40.977621	-73.78536	
A	40.977421	-73.785271	
A	40.977242	-73.785139	
A	40.977064	-73.785021	
A	40.976842	-73.784918	
A	40.976664	-73.78477	
A	40.976463	-73.784704	
A	40.976246	-73.784549	
A	40.977471	-73.783407	
A	40.977443	-73.783702	
A	40.977332	-73.784085	
A	40.977103	-73.784041	
A	40.976892	-73.783842	
A	40.976725	-73.783716	
A	40.976998	-73.783186	
A	40.977198	-73.783259	
A	40.978489	-73.781078	
A	40.978289	-73.781476	
A	40.978183	-73.781726	
A	40.978027	-73.781984	
A	40.977916	-73.782242	
A	40.977821	-73.782552	
A	40.977682	-73.782832	
A	40.978333	-73.780908	
A	40.978083	-73.781144	
A	40.977855	-73.78135	
A	40.977693	-73.781726	
A	40.977543	-73.781992	
A	40.977348	-73.782301	
A	40.977259	-73.782625	
A	40.975645	-73.784648	
A	40.975932	-73.784923	
A	40.97612	-73.784959	
A	40.976287	-73.785048	
A	40.976509	-73.785128	
A	40.97669	-73.785279	
A	40.976885	-73.785394	
A	40.977086	-73.78551	
A	40.977261	-73.785626	
A	40.977462	-73.785732	
A	40.977704	-73.785848	
A	40.977959	-73.786043	
A	40.977778	-73.786408	
A	40.97765	-73.786844	
A	40.977462	-73.787128	
A	40.977301	-73.78679	
A	40.977261	-73.786577	
A	40.9771	-73.786212	
A	40.976851	-73.78607	
A	40.976637	-73.785946	
A	40.976496	-73.785875	
A	40.976274	-73.785777	
A	40.976044	-73.785572	
A	40.975832	-73.785478	
A	40.975466	-73.785283	
A	40.975154	-73.78565	
A	40.975095	-73.785877	
A	40.974942	-73.786134	
A	40.974841	-73.786626	
A	40.975148	-73.786743	
A	40.97536	-73.786861	
A	40.975578	-73.787009	
A	40.975802	-73.787087	
A	40.975991	-73.78722	
A	40.976239	-73.787321	
A	40.976392	-73.787423	
A	40.976604	-73.787501	
A	40.976975	-73.787391	
A	40.977229	-73.787548	
A	40.976875	-73.786837	
A	40.976604	-73.787071	
A	40.976415	-73.786985	
A	40.976227	-73.786861	
A	40.976009	-73.786665	
A	40.975838	-73.786595	
A	40.975643	-73.786454	
A	40.975419	-73.786314	
A	40.976746	-73.786486	
A	40.976604	-73.786408	
A	40.976404	-73.78622	
A	40.976221	-73.786158	
A	40.976026	-73.786048	
A	40.975826	-73.785923	
A	40.975637	-73.7859	
A	40.977064	-73.787985	
A	40.97697	-73.788282	
A	40.976757	-73.788696	
A	40.976557	-73.788297	
A	40.976345	-73.788133	
A	40.976374	-73.788008	
A	40.976138	-73.787946	
A	40.975879	-73.787876	
A	40.97562	-73.787759	
A	40.97536	-73.787649	
A	40.975148	-73.787493	
A	40.9749	-73.787313	
A	40.97467	-73.787204	
A	40.974405	-73.787126	
A	40.977176	-73.789788	
A	40.977023	-73.789663	
A	40.976799	-73.78953	
A	40.976675	-73.789725	
A	40.976563	-73.790053	
A	40.976451	-73.790241	
A	40.976268	-73.790631	
A	40.976115	-73.790818	
A	40.975915	-73.791006	
A	40.976068	-73.791263	
A	40.976186	-73.788788	
A	40.975975	-73.788788	
A	40.975684	-73.788777	
A	40.975358	-73.788768	
A	40.975136	-73.78867	
A	40.974881	-73.78859	
A	40.97472	-73.788412	
A	40.974431	-73.788234	
A	40.976043	-73.788465	
A	40.975848	-73.78827	
A	40.975552	-73.788163	
A	40.975351	-73.788003	
A	40.97515	-73.787878	
A	40.974841	-73.787754	
A	40.974579	-73.787754	
A	40.976466	-73.789231	
A	40.976366	-73.789515	
A	40.976218	-73.789844	
A	40.976144	-73.790067	
A	40.975795	-73.789782	
A	40.97556	-73.789791	
A	40.975547	-73.790173	
A	40.975963	-73.790316	
A	40.975822	-73.790494	
A	40.975594	-73.790671	
A	40.975345	-73.790511	
A	40.974822	-73.790618	
A	40.974566	-73.789729	
A	40.974325	-73.790467	
A	40.974419	-73.790316	
A	40.974117	-73.790387	
A	40.974117	-73.790004	
A	40.973888	-73.789604	
A	40.973855	-73.789933	
A	40.973727	-73.790316	
A	40.973311	-73.790209	
A	40.973324	-73.789924	
A	40.973318	-73.789622	
A	40.973385	-73.789373	
A	40.973412	-73.789071	
A	40.973412	-73.788786	
A	40.973546	-73.787774	
A	40.973676	-73.787571	
A	40.973765	-73.787195	
A	40.974275	-73.787538	
A	40.974146	-73.787839	
A	40.974105	-73.788128	
A	40.974032	-73.788418	
A	40.974194	-73.788633	
A	40.974389	-73.788804	
A	40.974446	-73.789148	
A	40.974632	-73.78889	
A	40.974907	-73.788955	
A	40.975158	-73.78904	
A	40.975393	-73.789126	
A	40.975677	-73.789255	
A	40.975847	-73.789362	
A	40.976155	-73.789234	
A	40.97579	-73.791723	
A	40.97568	-73.791917	
A	40.975541	-73.792116	
A	40.975385	-73.792293	
A	40.975262	-73.792544	
A	40.975112	-73.792735	
A	40.974889	-73.792898	
A	40.974606	-73.793089	
A	40.974511	-73.792942	
A	40.974572	-73.792581	
A	40.974606	-73.792278	
A	40.974661	-73.791984	
A	40.974711	-73.791674	
A	40.974767	-73.791394	
A	40.9748	-73.791099	
A	40.975485	-73.791224	
A	40.975368	-73.791482	
A	40.975151	-73.791364	
A	40.975123	-73.791866	
A	40.974984	-73.792242	
A	40.974528	-73.791018	
A	40.974478	-73.791328	
A	40.974439	-73.791608	
A	40.974355	-73.791851	
A	40.974344	-73.792168	
A	40.974283	-73.792433	
A	40.974211	-73.792662	
A	40.97416	-73.79292	
A	40.974138	-73.793266	
A	40.974088	-73.79345	
A	40.974122	-73.790959	
A	40.974099	-73.791291	
A	40.974044	-73.791549	
A	40.974021	-73.791807	
A	40.973966	-73.792102	
A	40.973921	-73.792411	
A	40.973888	-73.792632	
A	40.973832	-73.792868	
A	40.973721	-73.79317	
A	40.973693	-73.793443	
A	40.973632	-73.793723	
A	40.973326	-73.793694	
A	40.973387	-73.793465	
A	40.973398	-73.793155	
A	40.973459	-73.792853	
A	40.973526	-73.792477	
A	40.973598	-73.791969	
A	40.973632	-73.791704	
A	40.973665	-73.791364	
A	40.973704	-73.791136	
A	40.973754	-73.790804	
A	40.973367	-73.79078	
A	40.973259	-73.791059	
A	40.973205	-73.79136	
A	40.97301	-73.791324	
A	40.972783	-73.791224	
A	40.972816	-73.790916	
A	40.972875	-73.790622	
A	40.973113	-73.790658	
A	40.972994	-73.792942	
A	40.972897	-73.793243	
A	40.972816	-73.793558	
A	40.972507	-73.79335	
A	40.972534	-73.793014	
A	40.972594	-73.792677	
A	40.972118	-73.792906	
A	40.972205	-73.79252	
A	40.972297	-73.792176	
A	40.972605	-73.792201	
A	40.972816	-73.792316	
A	40.97311	-73.792376	
A	40.97317	-73.791889	
A	40.972953	-73.791811	
A	40.972759	-73.791764	
A	40.972559	-73.791675	
A	40.972337	-73.791707	
A	40.972437	-73.791406	
A	40.97248	-73.791019	
A	40.972518	-73.790797	
A	40.972529	-73.790443	
A	40.972218	-73.790672	
A	40.971986	-73.790751	
A	40.971886	-73.791116	
A	40.971834	-73.791356	
A	40.971813	-73.791639	
A	40.971832	-73.791879	
A	40.971886	-73.792122	
A	40.971834	-73.792394	
A	40.971618	-73.792484	
A	40.971445	-73.792384	
A	40.97135	-73.792158	
A	40.971399	-73.79194	
A	40.971415	-73.791682	
A	40.97144	-73.791399	
A	40.971472	-73.791145	
A	40.970983	-73.791818	
A	40.970991	-73.792201	
A	40.970743	-73.792305	
A	40.970578	-73.792058	
A	40.970283	-73.792201	
A	40.973304	-73.787204	
A	40.973265	-73.787425	
A	40.973194	-73.787757	
A	40.973144	-73.787954	
A	40.9731	-73.788174	
A	40.9731	-73.788425	
A	40.973066	-73.788728	
A	40.973014	-73.789009	
A	40.972962	-73.789267	
A	40.97294	-73.789525	
A	40.972911	-73.78976	
A	40.972894	-73.790079	
A	40.972418	-73.789934	
A	40.972424	-73.789585	
A	40.972464	-73.789214	
A	40.972476	-73.788963	
A	40.972476	-73.788592	
A	40.97255	-73.788288	
A	40.97263	-73.788083	
A	40.972733	-73.787757	
A	40.972808	-73.787461	
A	40.972888	-73.787127	
A	40.972493	-73.787044	
A	40.972372	-73.787378	
A	40.972332	-73.787658	
A	40.972292	-73.787977	
A	40.972201	-73.788281	
A	40.972161	-73.788599	
A	40.97212	-73.788918	
A	40.972033	-73.789232	
A	40.972023	-73.789551	
A	40.97197	-73.78996	
A	40.971546	-73.790062	
A	40.971498	-73.789755	
A	40.971527	-73.789449	
A	40.971541	-73.789149	
A	40.971594	-73.788901	
A	40.971633	-73.788626	
A	40.971667	-73.788397	
A	40.97172	-73.788078	
A	40.971715	-73.787835	
A	40.971816	-73.787561	
A	40.971874	-73.787312	
A	40.971985	-73.787063	
A	40.972062	-73.786853	
A	40.978521	-73.780362	
A	40.978812	-73.780318	
A	40.979102	-73.780282	
A	40.979267	-73.780287	
A	40.979439	-73.780419	
A	40.979698	-73.780515	
A	40.979939	-73.780672	
A	40.980161	-73.780378	
A	40.980081	-73.780065	
A	40.979855	-73.780019	
A	40.979576	-73.779913	
A	40.979366	-73.779882	
A	40.97916	-73.779725	
A	40.978544	-73.779973	
C	40.9788	-73.779756	
A	40.981536	-73.777936	
A	40.981375	-73.778285	
A	40.981238	-73.77857	
A	40.981052	-73.778965	
A	40.980774	-73.778764	
A	40.980613	-73.778512	
A	40.980349	-73.778499	
A	40.980114	-73.778479	
A	40.97987	-73.778415	
A	40.979694	-73.778635	
A	40.979802	-73.778932	
A	40.980017	-73.778991	
A	40.980227	-73.778978	
A	40.980579	-73.779243	
A	40.980851	-73.779414	
A	40.980648	-73.779842	
A	40.98027	-73.779567	
A	40.980085	-73.779488	
A	40.979698	-73.779421	
A	40.97943	-73.779304	
A	40.979108	-73.779152	
A	40.979209	-73.778773	
A	40.97938	-73.778529	
A	40.979486	-73.778162	
A	40.979647	-73.777918	
A	40.979988	-73.777893	
A	40.98027	-73.777851	
A	40.980574	-73.777857	
A	40.980842	-73.77782	
A	40.981054	-73.777796	
A	40.981307	-73.777808	
A	40.982445	-73.777231	
A	40.982156	-73.777231	
A	40.981828	-73.777268	
A	40.981583	-73.777239	
A	40.981355	-73.777224	
A	40.981054	-73.777254	
A	40.98081	-73.777276	
A	40.980526	-73.77729	
A	40.980259	-73.777268	
A	40.979969	-73.777261	
A	40.979658	-73.777305	
A	40.979458	-73.777408	
A	40.977035	-73.782161	
A	40.976836	-73.782515	
A	40.976702	-73.782845	
A	40.976592	-73.783126	
A	40.976463	-73.783419	
A	40.976287	-73.783578	
A	40.976126	-73.783762	
A	40.976048	-73.784024	
A	40.975937	-73.784208	
A	40.975596	-73.783896	
A	40.975688	-73.783572	
A	40.975845	-73.783255	
A	40.975955	-73.782919	
A	40.97608	-73.782747	
A	40.976214	-73.782552	
A	40.976287	-73.782302	
A	40.976463	-73.782063	
A	40.97661	-73.781801	
A	40.974733	-73.784452	
A	40.974553	-73.784409	
A	40.974309	-73.784336	
A	40.974129	-73.784312	
A	40.973917	-73.784226	
A	40.973686	-73.784128	
A	40.973483	-73.784086	
A	40.975014	-73.784086	
A	40.974954	-73.783957	
A	40.974788	-73.78389	
A	40.97459	-73.783799	
A	40.974359	-73.783823	
A	40.974156	-73.783652	
A	40.973963	-73.783579	
A	40.973723	-73.783542	
A	40.975261	-73.783571	
A	40.975381	-73.783357	
A	40.975473	-73.7831	
A	40.975597	-73.782899	
A	40.975703	-73.782697	
A	40.975814	-73.782441	
A	40.975934	-73.782209	
A	40.976068	-73.781964	
A	40.976197	-73.781585	
A	40.975939	-73.781585	
A	40.97569	-73.781726	
A	40.975537	-73.781915	
A	40.975394	-73.782111	
A	40.975298	-73.78238	
A	40.975168	-73.782587	
A	40.975039	-73.782832	
A	40.974919	-73.783015	
A	40.974804	-73.783253	
A	40.975337	-73.781427	
A	40.975131	-73.781699	
A	40.975003	-73.781928	
A	40.974875	-73.782156	
A	40.974763	-73.782407	
A	40.97463	-73.782635	
A	40.97453	-73.782901	
A	40.974391	-73.783173	
A	40.975197	-73.78125	
A	40.974997	-73.78111	
A	40.97483	-73.781463	
A	40.974686	-73.781744	
A	40.974541	-73.781979	
A	40.97443	-73.782215	
A	40.97429	-73.782569	
A	40.974179	-73.782805	
A	40.973996	-73.783026	
A	40.979262	-73.777906	
A	40.9791	-73.777802	
A	40.979006	-73.778001	
A	40.978889	-73.778525	
A	40.978727	-73.778738	
A	40.97851	-73.779247	
A	40.978277	-73.779726	
A	40.978043	-73.780146	
A	40.977904	-73.780478	
A	40.977709	-73.780824	
A	40.977453	-73.781075	
A	40.977197	-73.781613	
A	40.97683	-73.781377	
A	40.97698	-73.781112	
A	40.977103	-73.780861	
A	40.977347	-73.780655	
A	40.977676	-73.779962	
A	40.977364	-73.779984	
A	40.977192	-73.780087	
A	40.97698	-73.78008	
